,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
461,123.64839748436202,18.72979819180803,461.0,san vicente,11.41,81.5,61.0,0.0
463,-5.278246868544159,67.91880911395594,463.0,klaksvik,12.75,44.6,100.0,92.0
466,170.04268010159757,72.746746850889,466.0,pevek,5.32,15.34,65.0,36.0
467,99.12326465577354,46.09468199888579,467.0,hovd,27.51,43.66,75.0,75.0
468,152.57816961148882,-26.994476676917124,468.0,caboolture,9.17,61.48,82.0,0.0
473,149.40897148225537,-35.88066213692823,473.0,cooma,2.75,52.06,92.0,92.0
475,62.22740589239103,40.65034020080242,475.0,gazojak,10.42,74.92,33.0,80.0
476,-29.17845466072552,-8.555373451221698,476.0,olinda,5.82,84.2,58.0,0.0
477,161.2784086935461,-29.6242797630642,477.0,byron bay,12.75,68.0,77.0,40.0
478,-172.79584283937646,66.17387407027857,478.0,provideniya,22.06,20.02,100.0,0.0
480,28.917058276145752,78.79320879236684,480.0,mehamn,9.86,29.74,83.0,0.0
481,-29.696803124759526,52.98945331728186,481.0,grindavik,12.75,48.31,75.0,75.0
482,-54.08055798557584,-23.3202119167356,482.0,navirai,6.22,85.09,72.0,12.0
490,137.70307697592574,40.23512163786185,490.0,oga,5.88,84.46,95.0,20.0
492,-47.74973445458093,5.77802277436632,492.0,saint-georges,6.29,38.83,54.0,0.0
496,66.41272996837932,39.47174067133332,496.0,nurobod,2.24,71.6,74.0,0.0
497,-66.80011632269529,-38.44285604189359,497.0,general roca,4.09,64.4,55.0,0.0
498,159.36612232234256,50.2819689954334,498.0,petropavlovsk-kamchatskiy,4.47,26.6,68.0,80.0
503,70.45596755713586,52.7984074045965,503.0,makinsk,17.13,50.44,77.0,44.0
504,11.50307045226387,45.61649003475844,504.0,caldogno,6.93,78.13,36.0,0.0
505,-75.96046174643412,-13.52312577801554,505.0,chincha alta,2.86,71.6,73.0,0.0
510,-93.91551877002637,33.734054871413846,510.0,texarkana,4.7,55.4,71.0,1.0
514,-64.18251901623375,82.55583565408091,514.0,narsaq,4.7,42.8,97.0,75.0
517,67.6704282729412,-12.441798406674124,517.0,grand gaube,12.75,80.6,74.0,75.0
518,-37.55311107664812,0.2487549643348359,518.0,trairi,17.63,81.13,100.0,24.0
521,-28.50452391608343,36.80374896612555,521.0,ribeira grande,10.29,66.2,77.0,40.0
522,-86.24460251123284,-36.36557881252751,522.0,lebu,3.53,58.63,93.0,80.0
535,55.14766891792729,-22.488335635380253,535.0,saint-joseph,6.93,76.55,38.0,0.0
536,133.0936558706718,-31.07928890740375,536.0,flinders,4.7,55.4,100.0,40.0
